"","Ticket ID","Issue Type","Issue Description","Case Owner","Case Owner Description","Street Address","City","State / Province","Zip / Postal Code","Neighborhood / District / Ward / etc.","Created Year Month","Ticket Created Date / Time","Ticket Last Updated Date / Time","Ticket Closed Date / Time","Ticket Status","X Coordinate","Y Coordinate","Latitude","Longitude","Location Geo. Coded","Method Received","Goal Days","Actual Completed Days"
"1","15-10193306","JUNK AND TRASH / OVERGROWTH",NA,"Regulatory_and_Economic_Resources","Regulatory and Economic Resources","15200 NE 1ST CT","Miami_Dade_County","Florida",33162,"District 2",20156,"06/15/2015 04:10:47 PM","06/25/2015 09:30:28 AM","06/25/2015 09:30:02 AM","CLOSED",919921.748,575506.312,25.914731,-80.197566,"15200 NE 1ST CT
MIAMI, Florida 33162
(25.914731, -80.197566)","PHONE",90,10
"2","14-10602176","UNAUTHORIZED USE - RESIDENTIAL / BUSINESS",NA,"Regulatory_and_Economic_Resources","Regulatory and Economic Resources","4425 SW 129TH PL","Miami_Dade_County","Florida",33175,"District 10",201412,"12/17/2014 10:47:06 AM","01/26/2015 01:21:35 PM","01/26/2015 01:20:50 PM","CLOSED",852025.001,506578.529,25.726087,-80.405069,"4425 SW 129TH PL
MIAMI, Florida 33175
(25.726087, -80.405069)","INHOUSE",180,40
"3","13-00066344","PET ACCOUNT UPDATE",NA,"Animal_Services","Animal Services","6718 SW 114TH AVE","Miami_Dade_County","Florida",33173,"District 10",20133,"03/08/2013 02:34:35 PM","03/08/2013 02:42:11 PM","03/08/2013 02:42:09 PM","CLOSED",860996.5625,498791.71875,25.704549,-80.37793,"6718 SW 114TH AVE
MIAMI, Florida 33173
(25.704549, -80.37793)","PHONE",30,0
"4","17-10342011","DRAIN TOPS CLEANED",NA,"Public_Works_Road_And_Bridges-16-60","Public_Works_Road_And_Bridges-16-60","13700 SW 13TH ST","Miami_Dade_County","Florida",33184,"District 11",20178,"08/23/2017 12:14:00 AM","08/23/2017 12:00:00 AM","08/23/2017 12:00:00 AM","CLOSED",848047.253,517085.875,25.755045,-80.41701,"13700 SW 13TH ST
MIAMI, Florida 33184
(25.755045, -80.41701)","XTERFACE",1,0
"5","16-10183542","ROAD CONSTRUCTION COMPLAINTS",NA,"Public_Works_Construction-6-60","Public_Works_Construction-6-60","NW 62ND AVE & NW 199TH ST","Miami_Dade_County","Florida",33015,"District 1",20165,"05/13/2016 11:29:12 AM","05/24/2016 12:00:00 AM","05/24/2016 12:00:00 AM","CLOSED",885435.248,588981.937,25.952347,-80.302261,"NW 62ND AVE &amp; NW 199TH ST
MIAMI, Florida 33015
(25.952347, -80.302261)","EMAIL",14,11
"6","16-10067392","UNAUTHORIZED USE - RESIDENTIAL / BUSINESS",NA,"Regulatory_and_Economic_Resources","Regulatory and Economic Resources","13699 SW 76TH ST","Miami_Dade_County","Florida",33183,"District 10",20162,"02/20/2016 12:00:00 AM","05/05/2016 12:24:28 PM","04/05/2016 03:20:59 PM","CLOSED",848724.438,495261.625,25.694991,-80.415246,"13699 SW 76TH ST
MIAMI, Florida 33183
(25.694991, -80.415246)","XTERFACE",180,45
"7","14-10393692","ASU POLICE ASSISTANCE",NA,"Animal_Services","Animal Services","3330 NW 189TH ST","City_of_Miami_Gardens","Florida",33056,"District 1",20146,"06/22/2014 08:46:49 AM","06/22/2014 10:18:25 AM","06/22/2014 10:18:25 AM","CLOSED",900499.06,586681.562,25.945791,-80.256459,"3330 NW 189TH ST
MIAMI, Florida 33056
(25.945791, -80.256459)","PHONE",1,0
"8","17-10251800","SIDEWALK BROKEN / RAISED",NA,"Public_Works_Road_And_Bridges-16-60","Public_Works_Road_And_Bridges-16-60","1001 SW 42ND AVE","Miami_Dade_County","Florida",33134,"District 6",20176,"06/27/2017 11:37:00 AM","06/27/2017 11:37:00 AM",NA,"LOCKED",898683.325,519914.476,25.76213,-80.263124,"1001 SW 42ND AVE
MIAMI, Florida 33134
(25.76213, -80.263124)","XTERFACE",30,NA
"9","16-10067115","DRAIN TOPS CLEANED",NA,"Public_Works_Road_And_Bridges-16-60","Public_Works_Road_And_Bridges-16-60","17452 NW 87TH PL","Miami_Dade_County","Florida",33018,"District 13",20162,"02/18/2016 06:10:00 AM","02/18/2016 12:00:00 AM","02/18/2016 12:00:00 AM","CLOSED",871980.811,581515.623,25.931997,-80.343319,"17452 NW 87TH PL
MIAMI, Florida 33018
(25.931997, -80.343319)","XTERFACE",1,0
"10","13-10162161","DEAD ANIMAL PICKUP MD",NA,"Animal_Services","Animal Services","12176 SW 248TH ST","Miami_Dade_County","Florida",33032,"District 8",201312,"12/18/2013 05:27:48 PM","12/19/2013 05:08:50 PM","12/19/2013 05:08:50 PM","CLOSED",857993.932,437807.109,25.536797,-80.387904,"12176 SW 248TH ST
MIAMI, Florida 33032
(25.536797, -80.387904)","PHONE",4,1
